Zdroj;Èas;prefix address;prefix mask;metrika;next-hop
B;1641600;5.102.101.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.102.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.103.0;24;[20/0];via 64.71.137.241
B;550800;5.102.104.0;22;[20/0];via 217.192.89.50
B;1641600;5.102.108.0;22;[20/0];via 202.232.0.2
B;244800;5.102.112.0;22;[20/0];via 4.68.4.46
B;1641600;5.102.116.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.117.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.118.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.119.0;24;[20/0];via 64.71.137.241
B;864000;5.102.120.0;22;[20/0];via 64.71.137.241
B;1641600;5.102.124.0;22;[20/0];via 202.232.0.2
B;691200;5.102.128.0;24;[20/0];via 4.68.4.46
B;691200;5.102.129.0;24;[20/0];via 4.68.4.46
B;691200;5.102.130.0;24;[20/0];via 4.68.4.46
B;1641600;5.102.131.0;24;[20/0];via 64.71.137.241
B;52482;5.102.132.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.133.0;24;[20/0];via 64.71.137.241
B;52482;5.102.134.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.135.0;24;[20/0];via 64.71.137.241
B;1296000;5.102.136.0;23;[20/0];via 217.192.89.50
B;568800;5.102.136.0;24;[20/0];via 94.142.247.3
B;568800;5.102.137.0;24;[20/0];via 94.142.247.3
B;1296000;5.102.138.0;23;[20/0];via 217.192.89.50
B;568800;5.102.138.0;24;[20/0];via 94.142.247.3
B;568800;5.102.139.0;24;[20/0];via 94.142.247.3
B;1296000;5.102.140.0;23;[20/0];via 217.192.89.50
B;568800;5.102.140.0;24;[20/0];via 94.142.247.3
B;568800;5.102.141.0;24;[20/0];via 94.142.247.3
B;1296000;5.102.142.0;23;[20/0];via 217.192.89.50
B;568800;5.102.142.0;24;[20/0];via 94.142.247.3
B;568800;5.102.143.0;24;[20/0];via 94.142.247.3
B;457200;5.102.144.0;21;[20/0];via 64.71.137.241
B;284400;5.102.152.0;21;[20/0];via 114.31.199.16
B;604800;5.102.160.0;21;[20/0];via 64.71.137.241
B;691200;5.102.166.0;24;[20/0];via 94.142.247.3
B;691200;5.102.167.0;24;[20/0];via 94.142.247.3
B;1296000;5.102.168.0;24;[20/0];via 64.71.137.241
B;1296000;5.102.169.0;24;[20/0];via 64.71.137.241
B;1641600;5.102.170.0;24;[20/0];via 4.68.4.46
B;1641600;5.102.171.0;24;[20/0];via 4.68.4.46
B;1641600;5.102.172.0;24;[20/0];via 4.68.4.46
B;1296000;5.102.173.0;24;[20/0];via 64.71.137.241
B;1296000;5.102.174.0;24;[20/0];via 64.71.137.241
B;1296000;5.102.175.0;24;[20/0];via 64.71.137.241
B;604800;5.102.176.0;21;[20/0];via 217.192.89.50
B;604800;5.102.178.0;24;[20/0];via 217.192.89.50
B;604800;5.102.179.0;24;[20/0];via 217.192.89.50
B;604800;5.102.180.0;24;[20/0];via 217.192.89.50
B;133200;5.102.181.0;24;[20/0];via 217.192.89.50
B;104400;5.102.184.0;21;[20/0];via 217.192.89.50
B;1641600;5.102.192.0;18;[20/0];via 4.68.4.46
B;1641600;5.102.192.0;19;[20/0];via 4.68.4.46
B;1641600;5.102.192.0;20;[20/0];via 4.68.4.46
B;1641600;5.102.198.0;24;[20/0];via 4.68.4.46
B;1641600;5.102.200.0;21;[20/0];via 4.68.4.46
B;1641600;5.102.204.0;22;[20/0];via 4.68.4.46
B;1641600;5.102.204.0;23;[20/0];via 4.68.4.46
B;1641600;5.102.208.0;20;[20/0];via 4.68.4.46
B;1641600;5.102.208.0;22;[20/0];via 4.68.4.46
B;1641600;5.102.214.0;24;[20/0];via 4.68.4.46
B;1641600;5.102.216.0;23;[20/0];via 4.68.4.46
B;1641600;5.102.224.0;19;[20/0];via 4.68.4.46
B;1641600;5.102.224.0;20;[20/0];via 4.68.4.46
