Zdroj;čas;prefix address;prefix mask;metrika;next-hop;;;
B;1w1d;5.102.166.0;24;[20/0];via 94.142.247.3;1w1d;192:00:00;691200
B;1w1d;5.102.167.0;24;[20/0];via 94.142.247.3;1w1d;192:00:00;691200
B;2w1d;5.102.168.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.102.169.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w5d;5.102.170.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.171.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.172.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w1d;5.102.173.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.102.174.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w1d;5.102.175.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;1w0d;5.102.176.0;21;[20/0];via 217.192.89.50;1w0d;168:00:00;604800
B;1w0d;5.102.178.0;24;[20/0];via 217.192.89.50;1w0d;168:00:00;604800
B;1w0d;5.102.179.0;24;[20/0];via 217.192.89.50;1w0d;168:00:00;604800
B;1w0d;5.102.180.0;24;[20/0];via 217.192.89.50;1w0d;168:00:00;604800
B;1d13h;5.102.181.0;24;[20/0];via 217.192.89.50;1d13h;37:00:00;133200
B;1d05h;5.102.184.0;21;[20/0];via 217.192.89.50;1d05h;29:00:00;104400
B;2w5d;5.102.192.0;18;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.192.0;19;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.192.0;20;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.198.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.200.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.102.204.0;22;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
